Óra;Elosztó;Mérési pont;Gázmérő gyártási száma;Órai fogyasztás (m3);Órai fogyasztás típusa;Órai adat státusza;Órai fogyasztás (kWh)
2022.07.14 06:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;;K;V;0,000
2022.07.14 07:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;;K;V;164,511
2022.07.14 08:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;;K;V;1381,892
2022.07.14 09:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;;K;V;976,099
2022.07.14 10:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;;K;V;0,000
2022.07.14 11:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;;K;V;0,000
2022.07.14 06:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;;K;V;318,055
2022.07.14 07:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;;K;V;263,218
2022.07.14 08:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;;K;V;350,957
2022.07.14 09:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;;K;V;570,305
2022.07.14 10:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;;K;V;482,566
2022.07.14 11:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;;K;V;493,533
2022.07.14 06:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;;K;V;2190,409
2022.07.14 07:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;;K;V;2551,127
2022.07.14 08:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;;K;V;2885,413
2022.07.14 09:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;;K;V;1931,908
2022.07.14 10:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;;K;V;1999,138
2022.07.14 11:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;;K;V;2089,619
2022.07.14 06:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;;K;V;4109,814
2022.07.14 07:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;;K;V;5434,456
2022.07.14 08:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;;K;V;5140,640
2022.07.14 09:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;;K;V;5912,964
2022.07.14 10:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;;K;V;4987,315
2022.07.14 11:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;;K;V;5437,966
2022.07.14 06:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;;K;V;0,000
2022.07.14 07:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;;K;V;0,000
2022.07.14 08:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;;K;V;0,000
2022.07.14 09:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;;K;V;0,000
2022.07.14 10:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;;K;V;0,000
2022.07.14 11:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;;K;V;0,000
2022.07.14 06:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;;K;V;1930,262
2022.07.14 07:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;;K;V;1919,295
2022.07.14 08:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;;K;V;1963,165
2022.07.14 09:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;;K;V;1952,197
2022.07.14 10:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;;K;V;1974,132
2022.07.14 11:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;;K;V;1941,230
2022.07.14 06:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;;K;V;153,544
2022.07.14 07:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;;K;V;164,511
2022.07.14 08:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;;K;V;153,544
2022.07.14 09:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;;K;V;153,544
2022.07.14 10:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;;K;V;164,511
2022.07.14 11:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;;K;V;142,576
2022.07.14 06:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;;K;V;0,000
2022.07.14 07:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;;K;V;0,000
2022.07.14 08:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;;K;V;0,000
2022.07.14 09:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;;K;V;0,000
2022.07.14 10:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;;K;V;0,000
2022.07.14 11:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;;K;V;0,000
2022.07.14 06:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;;K;V;0,000
2022.07.14 07:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;;K;V;0,000
2022.07.14 08:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;;K;V;0,000
2022.07.14 09:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;;K;V;0,000
2022.07.14 10:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;;K;V;0,000
2022.07.14 11:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;;K;V;0,000
2022.07.14 06:00:00;39X60FOGAZ00000V;39N0600008660004;2011/31;;K;V;2719,915
2022.07.14 07:00:00;39X60FOGAZ00000V;39N0600008660004;2011/31;;K;V;3147,644
2022.07.14 08:00:00;39X60FOGAZ00000V;39N0600008660004;2011/31;;K;V;2796,687
2022.07.14 09:00:00;39X60FOGAZ00000V;39N0600008660004;2011/31;;K;V;2983,133
2022.07.14 10:00:00;39X60FOGAZ00000V;39N0600008660004;2011/31;;K;V;3114,742
2022.07.14 11:00:00;39X60FOGAZ00000V;39N0600008660004;2011/31;;K;V;3586,340
2022.07.14 06:00:00;39X60FOGAZ00000V;39N060001450000N;2014/20;;K;V;0,000
2022.07.14 07:00:00;39X60FOGAZ00000V;39N060001450000N;2014/20;;K;V;0,000
2022.07.14 08:00:00;39X60FOGAZ00000V;39N060001450000N;2014/20;;K;V;0,000
2022.07.14 09:00:00;39X60FOGAZ00000V;39N060001450000N;2014/20;;K;V;10,967
2022.07.14 10:00:00;39X60FOGAZ00000V;39N060001450000N;2014/20;;K;V;0,000
2022.07.14 11:00:00;39X60FOGAZ00000V;39N060001450000N;2014/20;;K;V;0,000
2022.07.14 06:00:00;39X60FOGAZ00000V;39N060001450000N;3403567136;;K;V;25,993
2022.07.14 07:00:00;39X60FOGAZ00000V;39N060001450000N;3403567136;;K;V;6,471
2022.07.14 08:00:00;39X60FOGAZ00000V;39N060001450000N;3403567136;;K;V;25,993
2022.07.14 09:00:00;39X60FOGAZ00000V;39N060001450000N;3403567136;;K;V;12,942
2022.07.14 10:00:00;39X60FOGAZ00000V;39N060001450000N;3403567136;;K;V;2,193
2022.07.14 11:00:00;39X60FOGAZ00000V;39N060001450000N;3403567136;;K;V;17,219
2022.07.14 06:00:00;39X60FOGAZ00000V;39N060001458000K;2011/33;;K;V;0,000
2022.07.14 07:00:00;39X60FOGAZ00000V;39N060001458000K;2011/33;;K;V;0,000
2022.07.14 08:00:00;39X60FOGAZ00000V;39N060001458000K;2011/33;;K;V;0,000
2022.07.14 09:00:00;39X60FOGAZ00000V;39N060001458000K;2011/33;;K;V;0,000
2022.07.14 10:00:00;39X60FOGAZ00000V;39N060001458000K;2011/33;;K;V;0,000
2022.07.14 11:00:00;39X60FOGAZ00000V;39N060001458000K;2011/33;;K;V;0,000
2022.07.14 06:00:00;39X60FOGAZ00000V;39N060006032000D;921937;;U;V;16,451
2022.07.14 07:00:00;39X60FOGAZ00000V;39N060006032000D;921937;;U;V;7,677
2022.07.14 08:00:00;39X60FOGAZ00000V;39N060006032000D;921937;;U;V;13,161
2022.07.14 09:00:00;39X60FOGAZ00000V;39N060006032000D;921937;;U;V;15,354
2022.07.14 10:00:00;39X60FOGAZ00000V;39N060006032000D;921937;;U;V;13,161
2022.07.14 06:00:00;39X60FOGAZ00000V;39N060006165000A;3403567151;;K;V;62,514
2022.07.14 07:00:00;39X60FOGAZ00000V;39N060006165000A;3403567151;;K;V;41,566
2022.07.14 08:00:00;39X60FOGAZ00000V;39N060006165000A;3403567151;;K;V;61,856
2022.07.14 09:00:00;39X60FOGAZ00000V;39N060006165000A;3403567151;;K;V;40,579
2022.07.14 10:00:00;39X60FOGAZ00000V;39N060006165000A;3403567151;;K;V;20,290
2022.07.14 11:00:00;39X60FOGAZ00000V;39N060006165000A;3403567151;;K;V;20,070
2022.07.14 06:00:00;39X60FOGAZ00000V;39N0600062560004;15091084;;U;V;4,387
2022.07.14 07:00:00;39X60FOGAZ00000V;39N0600062560004;15091084;;U;V;4,387
2022.07.14 08:00:00;39X60FOGAZ00000V;39N0600062560004;15091084;;U;V;3,290
2022.07.14 09:00:00;39X60FOGAZ00000V;39N0600062560004;15091084;;U;V;4,387
2022.07.14 10:00:00;39X60FOGAZ00000V;39N0600062560004;15091084;;U;V;3,290
2022.07.14 06:00:00;39X60FOGAZ00000V;39N0600062560004;15081440;;U;V;0,000
2022.07.14 07:00:00;39X60FOGAZ00000V;39N0600062560004;15081440;;U;V;0,000
2022.07.14 08:00:00;39X60FOGAZ00000V;39N0600062560004;15081440;;U;V;0,000
2022.07.14 09:00:00;39X60FOGAZ00000V;39N0600062560004;15081440;;U;V;0,000
2022.07.14 10:00:00;39X60FOGAZ00000V;39N0600062560004;15081440;;U;V;0,000
2022.07.14 06:00:00;39X60FOGAZ00000V;39N060006489000V;2011/13;;K;V;208,381
2022.07.14 07:00:00;39X60FOGAZ00000V;39N060006489000V;2011/13;;K;V;120,641
2022.07.14 08:00:00;39X60FOGAZ00000V;39N060006489000V;2011/13;;K;V;120,641
2022.07.14 09:00:00;39X60FOGAZ00000V;39N060006489000V;2011/13;;K;V;120,641
2022.07.14 10:00:00;39X60FOGAZ00000V;39N060006489000V;2011/13;;K;V;109,674
2022.07.14 11:00:00;39X60FOGAZ00000V;39N060006489000V;2011/13;;K;V;120,641
2022.07.14 06:00:00;39X60FOGAZ00000V;39N060006503000S;SC08000001965;;K;V;0,000
2022.07.14 07:00:00;39X60FOGAZ00000V;39N060006503000S;SC08000001965;;K;V;0,000
2022.07.14 08:00:00;39X60FOGAZ00000V;39N060006503000S;SC08000001965;;K;V;0,000
2022.07.14 09:00:00;39X60FOGAZ00000V;39N060006503000S;SC08000001965;;K;V;0,000
2022.07.14 10:00:00;39X60FOGAZ00000V;39N060006503000S;SC08000001965;;K;V;0,000
2022.07.14 11:00:00;39X60FOGAZ00000V;39N060006503000S;SC08000001965;;K;V;0,000
2022.07.14 06:00:00;39X60FOGAZ00000V;39N060743799000X;833694;;U;V;457,341
2022.07.14 07:00:00;39X60FOGAZ00000V;39N060743799000X;833694;;U;V;551,660
2022.07.14 08:00:00;39X60FOGAZ00000V;39N060743799000X;833694;;U;V;630,626
2022.07.14 09:00:00;39X60FOGAZ00000V;39N060743799000X;833694;;U;V;465,018
2022.07.14 10:00:00;39X60FOGAZ00000V;39N060743799000X;833694;;U;V;536,306
2022.07.14 06:00:00;39X60FOGAZ00000V;39N061163281000Y;15670412;;U;V;0,000
2022.07.14 07:00:00;39X60FOGAZ00000V;39N061163281000Y;15670412;;U;V;0,000
2022.07.14 08:00:00;39X60FOGAZ00000V;39N061163281000Y;15670412;;U;V;0,000
2022.07.14 09:00:00;39X60FOGAZ00000V;39N061163281000Y;15670412;;U;V;0,000
2022.07.14 10:00:00;39X60FOGAZ00000V;39N061163281000Y;15670412;;U;V;0,000
2022.07.14 06:00:00;39X60FOGAZ00000V;39N061011143000F;5856622;;U;V;0,000
2022.07.14 07:00:00;39X60FOGAZ00000V;39N061011143000F;5856622;;U;V;0,000
2022.07.14 08:00:00;39X60FOGAZ00000V;39N061011143000F;5856622;;U;V;0,000
2022.07.14 09:00:00;39X60FOGAZ00000V;39N061011143000F;5856622;;U;V;0,000
2022.07.14 10:00:00;39X60FOGAZ00000V;39N061011143000F;5856622;;U;V;0,000
2022.07.14 06:00:00;39X60FOGAZ00000V;39N061115372000K;3403421803;;U;V;72,385
2022.07.14 07:00:00;39X60FOGAZ00000V;39N061115372000K;3403421803;;U;V;81,159
2022.07.14 08:00:00;39X60FOGAZ00000V;39N061115372000K;3403421803;;U;V;47,160
2022.07.14 09:00:00;39X60FOGAZ00000V;39N061115372000K;3403421803;;U;V;48,257
2022.07.14 10:00:00;39X60FOGAZ00000V;39N061115372000K;3403421803;;U;V;26,322
2022.07.14 06:00:00;39X60FOGAZ00000V;39N0610133910002;323119;;U;V;0,000
2022.07.14 07:00:00;39X60FOGAZ00000V;39N0610133910002;323119;;U;V;0,000
2022.07.14 08:00:00;39X60FOGAZ00000V;39N0610133910002;323119;;U;V;0,000
2022.07.14 09:00:00;39X60FOGAZ00000V;39N0610133910002;323119;;U;V;0,000
2022.07.14 10:00:00;39X60FOGAZ00000V;39N0610133910002;323119;;U;V;0,000
2022.07.14 06:00:00;39X60FOGAZ00000V;39N060801744000J;15091054;;U;V;6,580
2022.07.14 07:00:00;39X60FOGAZ00000V;39N060801744000J;15091054;;U;V;8,774
2022.07.14 08:00:00;39X60FOGAZ00000V;39N060801744000J;15091054;;U;V;8,774
2022.07.14 09:00:00;39X60FOGAZ00000V;39N060801744000J;15091054;;U;V;6,580
2022.07.14 10:00:00;39X60FOGAZ00000V;39N060801744000J;15091054;;U;V;6,580
2022.07.14 06:00:00;39X60FOGAZ00000V;39N0611183270001;15073458;;U;V;0,000
2022.07.14 07:00:00;39X60FOGAZ00000V;39N0611183270001;15073458;;U;V;0,000
2022.07.14 08:00:00;39X60FOGAZ00000V;39N0611183270001;15073458;;U;V;0,000
2022.07.14 09:00:00;39X60FOGAZ00000V;39N0611183270001;15073458;;U;V;0,000
2022.07.14 10:00:00;39X60FOGAZ00000V;39N0611183270001;15073458;;U;V;0,000
2022.07.14 06:00:00;39X60FOGAZ00000V;39N0608021470001;921888;;U;V;0,000
2022.07.14 07:00:00;39X60FOGAZ00000V;39N0608021470001;921888;;U;V;0,000
2022.07.14 08:00:00;39X60FOGAZ00000V;39N0608021470001;921888;;U;V;0,000
2022.07.14 09:00:00;39X60FOGAZ00000V;39N0608021470001;921888;;U;V;0,000
2022.07.14 10:00:00;39X60FOGAZ00000V;39N0608021470001;921888;;U;V;0,000
2022.07.14 06:00:00;39X60FOGAZ00000V;39N061165529000U;3403232967;;K;V;23,470
2022.07.14 07:00:00;39X60FOGAZ00000V;39N061165529000U;3403232967;;K;V;23,470
2022.07.14 08:00:00;39X60FOGAZ00000V;39N061165529000U;3403232967;;K;V;11,735
2022.07.14 09:00:00;39X60FOGAZ00000V;39N061165529000U;3403232967;;K;V;34,657
2022.07.14 10:00:00;39X60FOGAZ00000V;39N061165529000U;3403232967;;K;V;22,922
2022.07.14 11:00:00;39X60FOGAZ00000V;39N061165529000U;3403232967;;K;V;22,812
2022.07.14 06:00:00;39X60FOGAZ00000V;39N0614375910009;328307;;U;V;157,931
2022.07.14 07:00:00;39X60FOGAZ00000V;39N0614375910009;328307;;U;V;284,056
2022.07.14 08:00:00;39X60FOGAZ00000V;39N0614375910009;328307;;U;V;212,768
2022.07.14 09:00:00;39X60FOGAZ00000V;39N0614375910009;328307;;U;V;196,316
2022.07.14 10:00:00;39X60FOGAZ00000V;39N0614375910009;328307;;U;V;232,509
